run_id,pid,exit_code,wallclock_s,max_rss_mb
534,11197,0,2.693602,114.375
535,11258,0,2.189275,113.418
536,11259,0,2.466541,112.363
537,11260,0,1.942048,111.008
538,11261,0,2.320545,111.426
539,11262,0,2.189920,111.387
540,11363,0,2.256791,111.531
541,11384,0,2.189428,112.105
542,11405,0,2.411976,112.246
543,11406,0,2.414982,113.242
544,11407,0,2.049576,109.562
545,11408,0,1.908211,109.613
546,11489,0,1.883746,110.176
547,11490,0,1.883455,109.391
548,11493,0,2.245588,112.832
549,11495,0,2.247682,111.477
550,11573,0,1.682683,109.539
551,11574,0,1.884915,110.832
552,11615,0,1.881006,112.602
553,11636,0,1.735127,110.465
554,11637,0,1.737806,111.492
555,11678,0,1.999953,111.559
556,11679,0,2.362999,115.020
557,11720,0,1.928154,112.930
558,11721,0,1.744786,111.059
559,11762,0,1.987263,113.598
560,11783,0,2.360528,116.254
561,11784,0,1.698928,110.582
562,11825,0,2.074722,112.211
563,11826,0,2.356467,115.105
564,11867,0,1.951159,109.797
565,11868,0,2.491174,114.348
566,11909,0,2.462970,112.449
567,11910,0,2.696694,115.578
568,11951,0,2.318554,111.098
569,11952,0,2.318350,111.320
570,11953,0,2.551536,114.809
571,11954,0,2.432425,113.344
572,12035,0,2.390234,110.766
573,12036,0,2.518087,113.637
574,12037,0,2.675039,114.195
575,12038,0,2.390989,113.047
576,12119,0,2.066966,110.355
577,12140,0,2.460579,111.680
578,12141,0,2.653404,114.473
579,12142,0,2.465912,113.602
580,12143,0,2.292858,111.344
581,12144,0,2.294863,110.441
582,12245,0,2.118285,112.016
583,12246,0,1.825673,109.551
584,12247,0,2.119465,111.035
585,12308,0,2.083035,111.031
586,12309,0,1.895125,110.312
587,12350,0,2.347075,115.117
588,12351,0,2.349965,115.430
589,12392,0,1.729488,111.008
590,12393,0,2.563614,112.742
591,12434,0,1.861898,112.148
592,12435,0,1.864767,111.715
593,12476,0,2.134043,113.422
594,12497,0,1.811934,113.637
595,12518,0,1.944999,114.547
596,12539,0,1.642571,111.301
597,12540,0,2.517494,115.902
598,12541,0,1.834469,111.344
599,12602,0,2.081487,109.918
600,12603,0,2.263355,109.957
601,12644,0,2.272498,111.465
602,12645,0,2.137211,109.426
603,12646,0,3.235751,116.727
604,12647,0,2.388642,113.402
605,12649,0,2.271451,111.078
606,12749,0,2.513257,113.926
607,12770,0,2.906661,114.582
608,12771,0,2.471271,111.281
609,12772,0,2.471377,110.777
610,12773,0,2.471626,110.875
611,12775,0,2.906185,113.590
612,12875,0,2.403978,111.000
613,12876,0,2.715954,113.539
614,12877,0,2.281335,111.664
615,12938,0,2.493315,111.305
616,12939,0,2.316642,110.652
617,12940,0,3.188819,114.066
618,13001,0,2.219856,111.301
619,13002,0,2.763766,114.152
620,13003,0,2.765609,114.945
621,13004,0,2.603499,112.789
622,13085,0,2.567638,114.441
623,13106,0,2.370944,113.145
624,13107,0,2.213615,111.137
625,13108,0,2.656311,112.117
626,13169,0,1.878518,110.035
627,13170,0,2.697596,116.668
628,13211,0,2.307431,114.785
629,13232,0,2.170318,114.258
630,13233,0,1.689992,110.523
631,13274,0,2.613931,112.820
632,13275,0,1.868199,111.918
633,13276,0,2.057327,112.945
634,13337,0,1.933221,113.242
635,13358,0,2.568405,114.977
636,13379,0,1.861997,109.840
637,13380,0,1.865733,109.828
638,13381,0,2.447102,113.992
639,13383,0,2.079097,111.699
640,13463,0,2.325268,113.691
641,13484,0,2.692526,115.238
642,13505,0,2.327121,112.695
643,13506,0,1.995990,110.980
644,13507,0,1.998274,111.102
645,13508,0,2.329230,111.922
646,13510,0,2.171612,112.910
647,13610,0,2.137836,113.906
648,13631,0,1.626565,111.270
649,13652,0,1.466771,109.613
